Unnamed: 0,timestamp,id,event,details,id_group
499,2000-01-01 11:26:44,instance-d6e24f15-72dd-4def-9106-ed04113195ee,layout.node.moved,"{'nodeId': 'instance-d6e24f15-72dd-4def-9106-ed04113195ee', 'newPos': {'x': 67, 'y': 22}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
500,2000-01-01 11:26:47,instance-d6e24f15-72dd-4def-9106-ed04113195ee-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-d6e24f15-72dd-4def-9106-ed04113195ee-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 111, 'height': 267}, 'delta': {'width': 61, 'height': 217}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
501,2000-01-01 11:26:56,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557-resizable,layout.node.moved,"{'nodeId': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557-resizable', 'newPos': {'x': 0, 'y': 164.44791412353516}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
502,2000-01-01 11:26:57,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557-resizable,layout.node.moved,"{'nodeId': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557-resizable', 'newPos': {'x': 6, 'y': 192.44791412353516}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
503,2000-01-01 11:27:01,,relationship_node.deleted,"{'relationship_id': 'instance-6ffd5387-af2a-4369-9be4-335c324b442f-instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'source_object_id': 'instance-6ffd5387-af2a-4369-9be4-335c324b442f', 'target_object_id': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'relation': 'parked beside', 'source_object_name': 'car', 'target_object_name': 'street', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
504,2000-01-01 11:27:04,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557,layout.node.moved,"{'nodeId': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'newPos': {'x': 3, 'y': 2.4479141235351562}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
505,2000-01-01 11:27:06,instance-d6e24f15-72dd-4def-9106-ed04113195ee,layout.node.moved,"{'nodeId': 'instance-d6e24f15-72dd-4def-9106-ed04113195ee', 'newPos': {'x': 68, 'y': 15}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
506,2000-01-01 11:27:44,,api.generate_image.succeeded,"{'global_caption': 'a scene featuring an old white man wearing a grey cardigan, a white shirt, black pants, and a black artist-style hat, looking at a girl related to a woman, a brown-haired woman in a flower-patterned dress holding a box, a brown-haired man in a bright blue polo T-shirt and brown short pants holding a tray with a bunch of water bottles and a box, a black-haired girl in a bright pink tank top and a white dress wearing pink shoes and holding a yellow balloon connected to a cute teddy bear, a brown picnic box, a street with a black lot tree, a black car, and a lamp on the street.', 'region_count': 8, 'has_image': True, 'detected_objects_count': 8, 'image_path': 'output/P7/2025-08-20_11-27-44/image.png', 'image_with_layout_path': 'output/P7/2025-08-20_11-27-44/image_with_layout.png', 'timestamp_dir': 'output/P7/2025-08-20_11-27-44', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
507,2000-01-01 11:30:06,instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9,instance.updated.graph,"{'instance_id': 'instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9', 'instance_label': 'Girl', 'text_changed': False, 'graph_changed': True, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
508,2000-01-01 11:30:45,instance-6ffd5387-af2a-4369-9be4-335c324b442f,instance.updated.graph,"{'instance_id': 'instance-6ffd5387-af2a-4369-9be4-335c324b442f', 'instance_label': 'car', 'text_changed': False, 'graph_changed': True, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
509,2000-01-01 11:31:18,instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f,instance.updated.graph,"{'instance_id': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f', 'instance_label': 'Man', 'text_changed': False, 'graph_changed': True, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
510,2000-01-01 11:31:53,instance-e31a7f32-eead-426d-b28e-f76cad91bda6,instance.updated.text,"{'instance_id': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6', 'instance_label': 'man', 'text_changed': True, 'graph_changed': False, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
511,2000-01-01 11:32:22,instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f,instance.updated.graph,"{'instance_id': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f', 'instance_label': 'Man', 'text_changed': False, 'graph_changed': True, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
